antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'newspapers', 'tropical fruit'})",frozenset({'whole milk'}),0.03694202154951257,0.4581836839404823,0.020266803488968702,0.548611111111111,1.197360644519099,1.0,0.0033405719632043467,1.2003315309626237,0.17115245847467334,0.04267963263101026,0.16689683291245777,0.2964220169217369
frozenset({'meat'}),frozenset({'whole milk'}),0.06362237044638276,0.4581836839404823,0.034889687018984095,0.5483870967741935,1.1968717263302386,1.0,0.005738954946834372,1.1997361284175034,0.17566478646253014,0.07165437302423604,0.16648338220918854,0.3122674565617888
"frozenset({'whipped/sour cream', 'other vegetables'})",frozenset({'whole milk'}),0.06695741405849154,0.4581836839404823,0.03668547973319651,0.5478927203065134,1.1957927344651675,1.0,0.0060066850927486155,1.1984242245045265,0.175484674797295,0.0751050420168067,0.16557093927783573,0.3139799547781167
"frozenset({'sausage', 'canned beer'})",frozenset({'whole milk'}),0.03796818881477681,0.4581836839404823,0.02077988712160082,0.5472972972972973,1.1944932054114583,1.0,0.0033834824978985663,1.1968479817434123,0.16925102880658427,0.04371289800323799,0.1644720004095003,0.29632502042916375
"frozenset({'pastry', 'bottled water'})",frozenset({'whole milk'}),0.04361210877373012,0.4581836839404823,0.023858388917393534,0.5470588235294117,1.193972729069231,1.0,0.0038760322550328366,1.1962178406508832,0.16986824495823513,0.04991948470209339,0.1640318627450979,0.2995652460312232
frozenset({'processed cheese'}),frozenset({'whole milk'}),0.038481272447408926,0.4581836839404823,0.02103642893791688,0.5466666666666666,1.193116834639791,1.0,0.003404937765245676,1.195183050131289,0.16833693416976847,0.04422869471413161,0.1633080808080807,0.2962896603210153
"frozenset({'other vegetables', 'frankfurter'})",frozenset({'whole milk'}),0.061056952283222166,0.4581836839404823,0.033350436121087734,0.5462184873949579,1.1921386695775733,1.0,0.005375136793782761,1.1940026224274556,0.1716519546027742,0.0686378035902851,0.16248090145148955,0.3095034206291699
"frozenset({'rolls/buns', 'pip fruit'})",frozenset({'whole milk'}),0.0672139558748076,0.4581836839404823,0.03668547973319651,0.5458015267175572,1.191228640058812,1.0,0.0058891418182641445,1.1929065109881818,0.1720979790286721,0.07506561679790026,0.16171134050427932,0.3129343579836386
"frozenset({'soda', 'whipped/sour cream'})",frozenset({'whole milk'}),0.04848640328373525,0.4581836839404823,0.02642380708055413,0.544973544973545,1.1894215444047471,1.0,0.004208128202988416,1.1907358573866147,0.16737036911003672,0.05502136752136752,0.16018318101651435,0.3013221588249584
"frozenset({'soda', 'rolls/buns'})",frozenset({'whole milk'}),0.11980502821959979,0.4581836839404823,0.06516162134427912,0.54389721627409,1.187072423872566,1.0,0.010268912160029446,1.1879259136140603,0.1790414860340068,0.12706353176588298,0.15819666147556957,0.3430572307574258
frozenset({'oil'}),frozenset({'whole milk'}),0.05566957414058492,0.4581836839404823,0.030271934325295024,0.543778801843318,1.186813980730825,1.0,0.004765043762164016,1.1876175816658117,0.16668738690204848,0.06259946949602123,0.15797811059907826,0.30492411536734765
"frozenset({'margarine', 'other vegetables'})",frozenset({'whole milk'}),0.05002565418163161,0.4581836839404823,0.02719343252950231,0.5435897435897435,1.186401355270336,1.0,0.004272494005029746,1.1871256363101792,0.16538859364411312,0.05653333333333334,0.15762917637917626,0.30147012375455823
"frozenset({'root vegetables', 'sausage'})",frozenset({'whole milk'}),0.056182657773217036,0.4581836839404823,0.030528476141611083,0.54337899543379,1.1859413909299625,1.0,0.004786499029511126,1.186577732170344,0.16612113722901495,0.0630965005302227,0.15724021032240212,0.30500416736975056
frozenset({'candy'}),frozenset({'whole milk'}),0.053873781426372495,0.4581836839404823,0.029245767060030785,0.5428571428571429,1.1848024316109425,1.0,0.004561679418291102,1.1852231913801952,0.16485900216919738,0.06057385759829968,0.15627705627705638,0.30334346504559273
"frozenset({'margarine', 'rolls/buns'})",frozenset({'whole milk'}),0.044894817855310416,0.4581836839404823,0.024371472550025655,0.5428571428571428,1.1848024316109422,1.0,0.003801399515242585,1.185223191380195,0.1633091592801504,0.05091103965702037,0.15627705627705615,0.2980243161094225
frozenset({'shopping bags'}),frozenset({'whole milk'}),0.16829143150333503,0.4581836839404823,0.09132888660851719,0.5426829268292683,1.1844221997651108,1.0,0.014220498546701807,1.184771677783479,0.18721277613347298,0.17066155321188883,0.15595551552106435,0.3710055171660339
frozenset({'red/blush wine'}),frozenset({'whole milk'}),0.039763981528989224,0.4581836839404823,0.021549512570549,0.5419354838709678,1.1827908824910596,1.0,0.0033303050254554246,1.1828384364679614,0.16094169433736627,0.045234248788368334,0.15457600195503426,0.2944839793374996
